LabPrj,Practic,Written,Average,Grade
8.00,8.30,2.5,7.02,7.00
7.75,9.00,1,6.90,6.00
9.92,3.75,1,5.67,4.00
7.17,9.00,1,6.67,6.00
7.08,7.00,1,5.83,5.00
7.58,6.00,1,5.63,5.00
5.75,5.00,3,4.90,4.00
10.00,6.50,1,6.80,6.00
10.00,1.00,3.75,5.15,4.00
10.00,5.00,4.75,6.95,6.00
7.50,8.50,1,6.60,6.00
10.00,5.00,8.75,7.75,7.00
10.00,6.00,2.5,6.90,6.00
9.08,8.25,1,7.13,7.00
10.00,5.00,1,6.20,6.00
6.75,5.75,0,5.00,5.00
8.17,7.00,1,6.27,6.00
8.67,5.25,2,5.97,5.00
9.00,5.00,3,6.20,6.00
9.75,6.00,1.75,6.65,6.00
9.67,5.00,1.5,6.17,6.00
10.00,1.00,1,4.60,4.00
5.04,5.00,1,4.22,4.00
7.75,1.00,4.5,4.40,4.00
8.92,1.00,3.75,4.72,4.00
0.00,6.00,1.5,2.70,4.00
0.00,8.00,1,3.40,4.00
10.00,6.00,1,6.60,6.00
9.83,5.00,1,6.13,6.00
10.00,1.00,2.25,4.85,4.00
5.67,5.00,1.75,4.62,4.00
8.33,8.00,3.75,7.28,7.00
